Date,Close,Volume
18/05/2012,38.2,573576400
21/05/2012,34.0,168192700
22/05/2012,31.0,101786600
23/05/2012,32.0,73600000
24/05/2012,33.0,50237200
25/05/2012,31.9,37149800
29/05/2012,28.8,78063400
30/05/2012,28.2,57267900
31/05/2012,29.6,111639200
01/06/2012,27.7,41855500
04/06/2012,26.9,35230300
05/06/2012,25.9,42473400
06/06/2012,26.8,61489200
07/06/2012,26.3,26159500
08/06/2012,27.1,38034000
11/06/2012,27.0,28219600
12/06/2012,27.4,15816800
13/06/2012,27.3,17102800
14/06/2012,28.3,16855000
15/06/2012,30.0,43563800
18/06/2012,31.4,42978900
19/06/2012,31.9,30849000
20/06/2012,31.6,15553600
21/06/2012,31.8,21875300
22/06/2012,33.0,74834000
25/06/2012,32.1,24352900
26/06/2012,33.1,24858700
27/06/2012,32.2,28568000
28/06/2012,31.4,17713300
29/06/2012,31.1,19526900
02/07/2012,30.8,14122000
03/07/2012,31.2,8763600
05/07/2012,31.5,10032100
06/07/2012,31.7,10945600
09/07/2012,32.2,17785200
10/07/2012,31.5,14269500
11/07/2012,31.0,13030300
12/07/2012,30.8,11300700
13/07/2012,30.7,8108300
16/07/2012,28.3,24672100
17/07/2012,28.1,30438600
18/07/2012,29.1,16841800
19/07/2012,29.0,13685100
20/07/2012,28.8,11869100
23/07/2012,28.8,12390700
24/07/2012,28.5,11539800
25/07/2012,29.3,17230200
26/07/2012,26.9,64597400
27/07/2012,23.7,123102300
30/07/2012,23.2,29285900
31/07/2012,21.7,56179400
01/08/2012,20.9,44604400
02/08/2012,20.0,56374500
03/08/2012,21.1,80647000
06/08/2012,21.9,27778900
07/08/2012,20.7,36782900
08/08/2012,20.7,29537400
09/08/2012,21.0,15610700
10/08/2012,21.8,25794700
13/08/2012,21.6,24973100
14/08/2012,20.4,39308800
15/08/2012,21.2,47861100
16/08/2012,19.9,157565300
17/08/2012,19.0,129293400
20/08/2012,20.0,101186600
21/08/2012,19.2,70640600
22/08/2012,19.4,49892200
23/08/2012,19.4,32813700
24/08/2012,19.4,29622200
27/08/2012,19.2,20704000
28/08/2012,19.3,25417000
29/08/2012,19.1,16124700
30/08/2012,19.1,30647500
31/08/2012,18.1,58764200
04/09/2012,17.7,46622400
05/09/2012,18.6,60781800
06/09/2012,19.0,46066500
07/09/2012,19.0,36371700
10/09/2012,18.8,24797800
11/09/2012,19.4,50508200
12/09/2012,20.9,121584000
13/09/2012,20.7,65041600
14/09/2012,22.0,72819800
17/09/2012,21.5,50667600
18/09/2012,21.9,36760500
19/09/2012,23.3,78782800
20/09/2012,22.6,57248900
21/09/2012,22.9,51218100
24/09/2012,20.8,79106500
25/09/2012,20.3,46291700
26/09/2012,20.6,38271900
27/09/2012,20.3,30215900
28/09/2012,21.7,65486000
01/10/2012,22.0,51262700
02/10/2012,22.3,29341400
03/10/2012,21.8,32000100
04/10/2012,22.0,46892100
05/10/2012,20.9,40529300
08/10/2012,20.4,32236700
09/10/2012,20.2,27161800
10/10/2012,19.6,39321800
11/10/2012,19.8,21817300
12/10/2012,19.5,18809400
15/10/2012,19.5,20189700
16/10/2012,19.5,21834700
17/10/2012,19.9,44074500
18/10/2012,19.0,52157400
19/10/2012,19.0,34835000
22/10/2012,19.3,32447300
23/10/2012,19.5,78381200
24/10/2012,23.2,228949900
